parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status,sensor_ok,mill_id,crop_type,sowing_date,area_hectares
PARCEL_018,2026-05-16,0.595,15.4,0.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_014,2026-01-27,0.457,27.6,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_006,2026-05-17,0.497,25.8,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_004,2026-02-10,0.81,25.0,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_002,2026-01-17,0.269,33.2,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_015,2026-03-19,0.873,26.3,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_020,2026-05-08,0.806,16.8,2.7,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_010,2026-01-20,0.315,27.9,0.9,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_012,2026-05-09,0.894,23.8,0.0,BAD_SENSOR,False,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_008,2026-02-07,0.278,15.7,4.1,ERROR,False,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_019,2026-01-10,0.198,15.3,1.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_010,2026-05-10,0.403,18.7,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_001,2026-01-16,0.231,34.5,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_023,2026-03-24,0.873,31.3,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_020,2026-03-12,0.222,24.4,2.9,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_013,2026-01-01,0.23,31.9,0.0,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_025,2026-02-04,0.071,33.4,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_001,2026-01-26,0.151,22.6,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_013,2026-01-28,0.15,19.2,0.0,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_002,2026-04-10,0.672,21.2,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_023,2026-04-24,0.698,35.1,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_022,2026-03-26,0.532,34.7,0.0,ERROR,False,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_020,2026-04-18,0.699,35.0,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_024,2026-03-11,0.569,24.2,0.0,OK,True,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_023,2026-05-29,0.51,18.4,2.9,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,2026-01-04,0.083,30.3,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_015,2026-01-11,0.257,34.0,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_012,2026-02-23,0.096,31.6,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_007,2026-05-15,0.509,20.8,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_007,2026-05-29,0.583,25.7,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_001,2026-04-23,0.588,20.1,5.8,OK,True,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_014,2026-03-18,0.769,18.0,7.8,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_023,2026-03-17,0.499,26.8,0.0,BAD_SENSOR,False,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_014,2026-01-07,0.288,19.4,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_019,2026-03-05,0.569,16.9,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_023,2026-02-11,0.283,15.3,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_024,2026-05-17,0.609,23.7,0.0,OK,True,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_017,2026-05-18,0.611,28.8,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_009,2026-04-08,0.738,25.7,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_007,2026-05-27,0.534,17.3,4.1,BAD_SENSOR,False,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_007,2026-05-17,0.71,30.9,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_023,2026-02-16,0.245,35.1,2.2,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_010,2026-01-25,0.23,17.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_021,2026-02-05,0.229,33.7,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_002,2026-03-20,0.757,30.6,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_018,2026-02-16,0.72,16.4,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_023,2026-02-14,0.421,34.4,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_009,2026-02-28,0.276,19.3,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_015,2026-02-20,0.707,23.3,5.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_016,2026-01-15,0.184,34.9,1.6,OK,True,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_015,2026-02-13,0.802,16.3,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_015,2026-05-13,0.661,33.2,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_012,2026-01-07,0.153,20.4,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_018,2026-02-19,0.672,24.9,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_009,2026-01-14,0.138,22.5,5.7,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_019,2026-01-30,0.335,24.7,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_001,2026-05-15,0.448,16.4,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_015,2026-03-11,0.728,28.7,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_005,2026-05-15,0.666,21.8,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_005,2026-01-17,0.094,33.4,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_008,2026-05-21,0.639,24.7,0.0,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_006,2026-04-22,0.597,23.3,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_020,2026-03-23,0.589,33.6,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_002,2026-04-21,0.784,28.5,8.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_023,2026-02-17,0.392,15.6,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_011,2026-04-01,0.586,24.8,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_004,2026-02-02,0.734,17.9,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_002,2026-04-01,0.682,30.6,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
