parcel_id,mill_id,crop_type,sowing_date,area_hectares
PARCEL_001,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_002,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_003,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_004,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_005,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_006,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_007,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_008,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_009,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_010,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_011,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_012,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_013,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_014,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_015,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_016,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_017,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_018,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_019,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_020,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_021,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_022,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_023,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_024,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_025,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_050,MILL_SOUTH,soybean,2026-02-01,1.55
PARCEL_051,MILL_NORTH,sugarcane,2026-01-10,7.72
PARCEL_052,MILL_WEST,soybean,2026-01-05,4.92
