parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status
PARCEL_018,16/05/2026,0.595,15.4,0.0,error
PARCEL_014,2026-01-27,0.457,27.6,0.0,OK
PARCEL_006,2026-05-17,0.497,25.8,0.0,OK
PARCEL_004,10/02/2026,0.81,25.0,0.0,OK
PARCEL_002,2026-01-17,0.269,33.2,0.0,OK
PARCEL_015,2026-03-19,0.873,26.3,0.0,OK
PARCEL_020,2026-05-08,0.806,16.8,2.7,OK
PARCEL_010,20-Jan-2026,0.315,27.9,0.9,OK
PARCEL_012,2026-05-09,0.894,23.8,0.0,NA
PARCEL_008,2026-02-07,0.278,15.7,4.1,error
PARCEL_019,2026-01-10,0.198,15.3,1.0,OK
PARCEL_010,10/05/2026,0.403,18.7,0.0,OK
PARCEL_001,2026-01-16,0.231,34.5,0.0,OK
PARCEL_023,2026-03-24,0.873,31.3,0.0,OK
PARCEL_020,2026-03-12,0.222,24.4,2.9,OK
PARCEL_013,2026-01-01,0.23,31.9,0.0,OK
PARCEL_025,2026-02-04,0.071,33.4,0.0,OK
PARCEL_001,2026-01-26,0.151,22.6,0.0,OK
PARCEL_013,2026-01-28,0.15,19.2,0.0,OK
PARCEL_002,2026-04-10,0.672,21.2,0.0,OK
PARCEL_023,2026-04-24,0.698,35.1,0.0,OK
PARCEL_017,2026-02-01,1.832,32.1,0.0,Error
PARCEL_022,2026-03-26,0.532,34.7,0.0,Error
PARCEL_099,19-Mar-2026,0.577,15.6,0.0,OK
PARCEL_020,18/04/2026,0.699,35.0,0.0,OK
PARCEL_024,11/03/2026,0.569,24.2,0.0,OK
PARCEL_023,2026-05-29,0.51,18.4,2.9,OK
PARCEL_025,2026-01-04,0.083,30.3,0.0,OK
PARCEL_015,2026-01-11,0.257,34.0,0.0,OK
PARCEL_012,2026-02-23,0.096,31.6,0.0,OK
PARCEL_007,2026-05-15,0.509,20.8,0.0,OK
PARCEL_007,2026-05-29,0.583,25.7,0.0,OK
PARCEL_001,2026-04-23,0.588,20.1,5.8, OK
PARCEL_014,18-Mar-2026,0.769,18.0,7.8,OK
PARCEL_023,2026-03-17,0.499,26.8,0.0,NaN
PARCEL_014,07-Jan-2026,0.288,19.4,0.0,OK
PARCEL_019,2026-03-05,0.569,16.9,0.0,OK
PARCEL_023,11/02/2026,0.283,15.3,0.0,OK
PARCEL_024,17-May-2026,0.609,23.7,0.0,OK
PARCEL_017,2026-05-18,0.611,28.8,0.0,OK
PARCEL_009,08/04/2026,0.738,25.7,0.0,OK
PARCEL_007,27/05/2026,0.534,17.3,4.1,
